Date,NetPnL,TradesOpened
2019-12-27,518.07,3
2019-12-30,-682.39,3
2019-12-31,1611.77,2
2020-01-02,-337.93,2
2020-01-03,-489.12,1
2020-01-06,229.35,3
2020-01-07,-817.99,3
2020-01-08,-475.21,1
2020-01-09,-554.72,2
2020-01-10,-140.12,1
2020-01-13,-197.93,1
2020-01-14,-471.35,2
2020-01-15,-278.61,2
2020-01-16,310.80,2
2020-01-17,465.98,2
2020-01-20,-243.14,5
2020-01-21,1019.03,2
2020-01-22,-361.75,1
2020-01-23,-305.14,3
2020-01-24,306.25,2
2020-01-27,-691.38,3
2020-01-28,-234.77,1
2020-01-29,-775.40,2
2020-01-30,-65.11,2
2020-01-31,1065.33,7
2020-02-03,385.64,3
2020-02-04,604.46,6
2020-02-05,200.71,3
2020-02-06,417.41,3
2020-02-07,-111.38,1
2020-02-11,-273.95,2
2020-02-12,34.18,3
2020-02-13,-314.33,1
2020-02-14,-589.60,3
2020-02-17,-175.83,4
2020-02-18,-261.60,2
2020-02-20,-124.23,3
2020-02-21,436.46,3
2020-02-24,-433.05,3
2020-02-25,231.95,2
2020-02-26,-394.46,7
2020-02-27,308.61,3
2020-02-28,27.18,1
2020-03-02,811.89,4
2020-03-03,447.00,1
2020-03-04,-1670.57,7
2020-03-05,29.97,1
2020-03-06,830.76,3
2020-03-09,-255.12,4
2020-03-10,-670.37,3
2020-03-11,-182.69,1
2020-03-12,-237.84,2
2020-03-13,28.35,1
2020-03-16,-391.78,2
2020-03-17,727.53,2
2020-03-19,-541.20,1
2020-03-20,-184.63,1
2020-03-23,43.43,3
2020-03-24,-264.97,3
2020-03-25,697.19,4
2020-03-27,158.20,1
2020-03-30,-655.43,7
2020-03-31,875.32,2
2020-04-01,-119.97,1
2020-04-02,-507.07,1
2020-04-03,302.68,1
2020-04-06,87.31,3
2020-04-07,31.27,3
2020-04-08,432.38,2
2020-04-09,369.91,1
2020-04-10,135.02,1
2020-04-13,-149.73,3
2020-04-14,-4.41,4
2020-04-15,-41.36,3
2020-04-16,-284.03,1
2020-04-17,-468.76,3
2020-04-20,-1217.20,3
2020-04-21,307.77,1
2020-04-22,568.75,4
2020-04-23,1312.94,5
2020-04-24,149.57,2
2020-04-27,-712.55,4
2020-04-28,275.49,3
2020-04-29,-1958.55,6
2020-05-04,-25.69,1
2020-05-05,-43.33,2
2020-05-06,-361.07,2
2020-05-07,-440.63,3
2020-05-08,3.01,2
2020-05-11,164.79,3
2020-05-12,363.20,1
2020-05-13,463.97,2
2020-05-14,50.68,1
2020-05-15,466.66,4
2020-05-18,205.22,1
2020-05-19,210.21,3
2020-05-20,-172.92,6
2020-05-21,-218.43,1
2020-05-22,-564.55,5
2020-05-25,-17.71,4
2020-05-26,-311.76,5
2020-05-27,-2168.40,5
2020-05-29,605.49,3
2020-06-05,-738.86,2
2020-06-08,-500.55,4
2020-06-09,358.19,1
2020-06-11,-634.29,2
2020-06-12,-344.59,4
2020-06-15,-108.67,2
2020-06-16,-541.19,4
2020-06-17,-468.37,4
2020-06-18,-27.86,3
2020-06-19,24.44,1
2020-06-22,600.40,5
2020-06-24,133.57,4
2020-06-25,-349.37,3
2020-06-26,393.08,1
2020-06-29,455.48,3
2020-06-30,133.22,5
2020-07-01,-391.96,2
2020-07-02,-254.01,2
2020-07-03,-37.16,1
2020-07-06,442.76,1
2020-07-07,53.49,3
2020-07-08,-77.60,4
2020-07-09,194.91,1
2020-07-10,104.29,1
2020-07-13,-83.66,5
2020-07-14,106.89,2
2020-07-15,124.28,2
2020-07-16,40.54,1
2020-07-17,677.96,4
2020-07-19,0.00,1
2020-07-20,457.07,3
2020-07-21,197.54,2
2020-07-22,-115.47,3
2020-07-23,-160.63,1
2020-07-28,186.75,1
2020-07-30,-148.98,2
2020-07-31,1686.70,6
2020-08-04,353.93,4
2020-08-05,-663.86,3
2020-08-06,-149.84,1
2020-08-07,44.63,1
2020-08-10,273.54,2
2020-08-11,936.09,3
2020-08-12,-101.49,2
2020-08-14,442.78,1
2020-08-17,-352.07,5
2020-08-18,1153.01,8
2020-08-19,946.21,4
2020-08-20,-311.22,2
2020-08-21,381.81,5
2020-08-24,-361.64,3
2020-08-25,-745.69,2
2020-08-26,77.07,4
2020-08-27,753.04,4
2020-08-31,-102.51,5
2020-09-02,106.74,1
2020-09-03,401.50,2
2020-09-04,-692.06,4
2020-09-07,-187.07,2
2020-09-09,309.67,2
2020-09-10,104.02,3
2020-09-11,-1238.70,4
2020-09-14,-41.36,5
2020-09-15,218.03,2
2020-09-16,425.98,4
2020-09-18,422.23,1
2020-09-21,-909.00,3
2020-09-22,-358.66,3
2020-09-23,-60.36,4
2020-09-24,-397.09,2
2020-09-25,-6.55,4
2020-09-28,-133.34,1
2020-09-29,378.71,1
2020-09-30,-142.44,1
2020-10-02,-174.16,4
