"Label","Score","Symbol","TF","Strategy","RunId","Reason","Trades","ExpectancyR","DrawdownPct","Consistency","VersionKind"
"ema-alignment/EURGBP/H4",,"EURGBP","H4","ema-alignment","35fa9f17","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"ema-alignment/EURJPY/H1","88.6","EURJPY","H1","ema-alignment","05bcfae6",,"39","0.3842722477550564","0.00748362319419825","81.81818181818183","sv1-partial"
"ema-alignment/EURJPY/H4",,"EURJPY","H4","ema-alignment","f8720591","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"ema-alignment/EURUSD/H1",,"EURUSD","H1","ema-alignment","f8704358","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"ema-alignment/EURUSD/H4",,"EURUSD","H4","ema-alignment","f5fa490d","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"ema-alignment/GBPJPY/H1",,"GBPJPY","H1","ema-alignment","82045a4a","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
"ema-alignment/GBPJPY/H4",,"GBPJPY","H4","ema-alignment","639ba826","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"ema-alignment/GBPUSD/H1",,"GBPUSD","H1","ema-alignment","8dee67a4","trades=19 below floor 20 (D3)","19","0","0","0","sv1-null"
"ema-alignment/GBPUSD/H4",,"GBPUSD","H4","ema-alignment","0581f1a9","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"ema-alignment/NZDUSD/H1",,"NZDUSD","H1","ema-alignment","4ba9ad64","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"ema-alignment/NZDUSD/H4",,"NZDUSD","H4","ema-alignment","e187a9e1","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"ema-alignment/USDCAD/H1",,"USDCAD","H1","ema-alignment","d1011d79","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"ema-alignment/USDCAD/H4",,"USDCAD","H4","ema-alignment","38702f03","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"ema-alignment/USDCHF/H1","52.4","USDCHF","H1","ema-alignment","1a596fa5",,"42","-0.0707812609575829","0.0415000104734379","30","sv1-partial"
"ema-alignment/USDCHF/H4",,"USDCHF","H4","ema-alignment","cc72d170","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"ema-alignment/USDJPY/H1","66.9","USDJPY","H1","ema-alignment","52e8fdf6",,"50","0.14241596709533028","0.0126493926053365","55.55555555555556","sv1-partial"
"ema-alignment/USDJPY/H4",,"USDJPY","H4","ema-alignment","72ea6c9b","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"ema-alignment/XAGUSD/H1",,"XAGUSD","H1","ema-alignment","662568f7","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
"ema-alignment/XAGUSD/H4",,"XAGUSD","H4","ema-alignment","59e79386","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"ema-alignment/XAUUSD/H1",,"XAUUSD","H1","ema-alignment","585a2fc1","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"ema-alignment/XAUUSD/H4",,"XAUUSD","H4","ema-alignment","f99bdc5f","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"macd-momentum/AUDUSD/H1",,"AUDUSD","H1","macd-momentum","bc6b3e8a","trades=14 below floor 20 (D3)","14","0","0","0","sv1-null"
"macd-momentum/AUDUSD/H4",,"AUDUSD","H4","macd-momentum","d0870786","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"macd-momentum/BTCUSD/H1",,"BTCUSD","H1","macd-momentum","6cf3ad6d","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"macd-momentum/BTCUSD/H4","65.4","BTCUSD","H4","macd-momentum","8772b835",,"22","0.1657324250299219","0.0220394004634161","37.5","sv1-partial"
"macd-momentum/ETHUSD/H1",,"ETHUSD","H1","macd-momentum","a0b04468","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
"macd-momentum/ETHUSD/H4",,"ETHUSD","H4","macd-momentum","77a9b2e6","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"macd-momentum/EURGBP/H1","47.1","EURGBP","H1","macd-momentum","3e5b5dd2",,"40","-0.22192666900251828","0.0423514525396862","0","sv1-partial"
"macd-momentum/EURGBP/H4",,"EURGBP","H4","macd-momentum","d7298dc1","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"macd-momentum/EURJPY/H1","64.3","EURJPY","H1","macd-momentum","26e46d21",,"24","0.11904355424904012","0.00891433167987202","50","sv1-partial"
"macd-momentum/EURJPY/H4",,"EURJPY","H4","macd-momentum","9b4bb40f","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"macd-momentum/EURUSD/H1","47.1","EURUSD","H1","macd-momentum","e64522d3",,"31","-0.27986762344563054","0.0370373907711519","0","sv1-partial"
"macd-momentum/EURUSD/H4",,"EURUSD","H4","macd-momentum","5a3ed316","trades=19 below floor 20 (D3)","19","0","0","0","sv1-null"
"macd-momentum/GBPJPY/H1",,"GBPJPY","H1","macd-momentum","fce1619e","trades=18 below floor 20 (D3)","18","0","0","0","sv1-null"
"macd-momentum/GBPJPY/H4",,"GBPJPY","H4","macd-momentum","294533c9","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"macd-momentum/GBPUSD/H1",,"GBPUSD","H1","macd-momentum","b7619397","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"macd-momentum/GBPUSD/H4",,"GBPUSD","H4","macd-momentum","1cecf51e","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"macd-momentum/NZDUSD/H1","65.4","NZDUSD","H1","macd-momentum","d985cf48",,"83","0.13474944259695826","0.0128100842297936","50","sv1-partial"
"macd-momentum/NZDUSD/H4",,"NZDUSD","H4","macd-momentum","5febb698","trades=17 below floor 20 (D3)","17","0","0","0","sv1-null"
